,datetime,tweetid,text,username,userid,value
822,Fri Apr 07 14:42:23 +0000 2017,8.50358096497082E+017,"@Carl_Adahl @konsensuseliten ""
Enligt uppgift till Expressen är skottlossning bekräftad vid Åhléns City och Hötorget.""",Mr Herrtidning,3208027984,pos
823,Fri Apr 07 14:53:17 +0000 2017,8.50360838330438E+017,Vad vet vi? T ex inget om skottlossning.  https://t.co/vaaaAFaiFV,Anja Hildén,980638896,neg
824,Fri Apr 07 15:08:40 +0000 2017,8.50364709824065E+017,"RT @Expressen: Polisen bekräftar skottlossning vid Hötorget och vid Åhlens, enligt uppgifter till Expressen.
https://t.co/YSDkE6sHHD https:…",Hiphop Sverige,955370882,pos
825,Fri Apr 07 15:08:29 +0000 2017,8.50364662310949E+017,"RT @Mediebruset: Polisen bekräftar inte alls någon skottlossning, tvärtemot vad Expressen påstår. https://t.co/4qPLmZaN8q",Magnus Eriksson,143547325,neg
826,Fri Apr 07 15:07:26 +0000 2017,8.50364401295258E+017,"RT @Mediebruset: Polisen bekräftar inte alls någon skottlossning, tvärtemot vad Expressen påstår. https://t.co/4qPLmZaN8q",Johan Justino Eklund,7.52537131546018E+017,neg
827,Fri Apr 07 15:07:07 +0000 2017,8.50364320944968E+017,"RT @mariageorgieva: Polisen dementerar uppgifterna om skottlossning vid Fridhemsplan i Sthlm, enligt SVT.",Lars Ingerslev,24660156,neg
828,Fri Apr 07 15:06:55 +0000 2017,8.50364267572417E+017,"RT @Mediebruset: Polisen bekräftar inte alls någon skottlossning, tvärtemot vad Expressen påstår. https://t.co/4qPLmZaN8q",Erik Krafve,143054478,neg
829,Fri Apr 07 15:06:27 +0000 2017,8.50364153567076E+017,"RT @Expressen: Polisen bekräftar skottlossning vid Hötorget och vid Åhlens, enligt uppgifter till Expressen.
https://t.co/YSDkE6sHHD https:…",Victor Björklund,20865466,pos
830,Fri Apr 07 15:06:22 +0000 2017,8.50364130758455E+017,"RT @Mediebruset: Polisen bekräftar inte alls någon skottlossning, tvärtemot vad Expressen påstår. https://t.co/4qPLmZaN8q",Sarah Dawn Finer,26458282,neg
831,Fri Apr 07 15:12:34 +0000 2017,8.50365691266036E+017,"RT @Claes_Hemberg: Påkörningen på Drottninggatan: 
Tre döda.
Ingen skottlossning har ägt rum, säger polisen till ekot.
Låt oss inte sprida…",Lasselelle,1250198684,neg
832,Fri Apr 07 15:12:04 +0000 2017,8.50365564958769E+017,"RT @Mediebruset: Polisen bekräftar inte alls någon skottlossning, tvärtemot vad Expressen påstår. https://t.co/4qPLmZaN8q",Staffan Roos,117061294,neg
833,Fri Apr 07 15:11:53 +0000 2017,8.5036551726524E+017,"RT @Expressen: Polisen bekräftar skottlossning vid Hötorget och vid Åhlens, enligt uppgifter till Expressen.
https://t.co/YSDkE6sHHD https:…",rougeannie024,2876672775,pos
834,Fri Apr 07 15:10:18 +0000 2017,8.50365121901851E+017,"RT @Mediebruset: Polisen bekräftar inte alls någon skottlossning, tvärtemot vad Expressen påstår. https://t.co/4qPLmZaN8q",Martin Holmén,272083797,neg
835,Fri Apr 07 15:09:46 +0000 2017,8.50364985456964E+017,"RT @Mediebruset: Polisen bekräftar inte alls någon skottlossning, tvärtemot vad Expressen påstår. https://t.co/4qPLmZaN8q",Alexander Karlsson,449444974,neg
836,Fri Apr 07 15:12:08 +0000 2017,8.50365580368638E+017,RT @Republiken: Polisen dementerar rykten om skottlossning. SPRID INTE RYKTEN.,Hans-Erik Eriksson,761778661,neg
